Frame Index,Time (s),Track ID,Class Name,Center X,Center Y,Width,Height
9,0.3,65,person,456.79728550314223,539.9708412464001,52.82969827326832,53.71025742243626
10,0.3333333333333333,65,person,458.3114236444095,540.42550112507,53.53667372700471,54.42901696914828
11,0.36666666666666664,65,person,459.82556178567677,540.8801610037399,54.24364917269031,55.1477765158603
12,0.4,65,person,461.33969992694404,541.3348208824098,54.950624610325235,55.866536062572436
13,0.43333333333333335,65,person,462.8538380682113,541.7894807610796,55.657600039909426,56.58529560928446
14,0.4666666666666667,65,person,464.36797620947857,542.2441406397495,56.364575461442826,57.30405515599648
15,0.5,65,person,465.88211435074584,542.6988005184194,57.07155087492555,58.022814702708615
16,0.5333333333333333,65,person,467.3962524920131,543.1534603970892,57.77852628035748,58.74157424942064
17,0.5666666666666667,65,person,468.9103906332804,543.6081202757591,58.48550167773868,59.46033379613266
18,0.6,65,person,470.42452877454764,544.062780154429,59.19247706706915,60.179093342844794
19,0.6333333333333333,65,person,471.9386669158149,544.5174400330989,59.89945244834888,60.897852889556816
20,0.6666666666666666,65,person,473.4528050570822,544.9720999117687,60.60642782157788,61.61661243626884
21,0.7,65,person,474.96694319834944,545.4267597904386,61.31340318675615,62.33537198298097
22,0.7333333333333333,65,person,476.4810813396167,545.8814196691085,62.02037854388368,63.054131529692995
23,0.7666666666666667,65,person,477.995219480884,546.3360795477784,62.72735389296042,63.77289107640502
24,0.8,65,person,479.50935762215124,546.7907394264482,63.43432923398649,64.49165062311704
25,0.8333333333333334,65,person,481.0234957634185,547.2453993051181,64.14130456696176,65.21041016982917
26,0.8666666666666667,65,person,482.5376339046858,547.700059183788,64.8482798918863,65.9291697165412
27,0.9,65,person,484.05177204595304,548.1547190624578,65.55525520876017,66.64792926325322
28,0.9333333333333333,65,person,485.5659101872203,548.6093789411277,66.26223051758325,67.36668880996524
29,0.9666666666666667,65,person,487.0800483284876,549.0640388197976,66.96920581835565,68.08544835667738
30,1.0,65,person,488.59418646975485,549.5186986984675,67.67618111107714,68.8042079033894
31,1.0333333333333334,65,person,490.1083246110221,549.9733585771373,68.38315639574807,69.52296745010142
32,1.0666666666666667,65,person,491.6224627522894,550.4280184558072,69.09013167236822,70.24172699681355
32,1.0666666666666667,67,car,246.6785316518666,499.3067948844878,27.523643342275562,25.36386227954432
33,1.1,65,person,493.13660089355665,550.8826783344771,69.79710694093757,70.96048654352558
33,1.1,67,car,246.52384283146097,499.97743442999547,27.352184166810645,25.17374958210854
34,1.1333333333333333,65,person,494.6507390348239,551.337338213147,70.50408220145619,71.6792460902376
34,1.1333333333333333,67,car,246.11181733232718,500.4563696861685,27.81540762565848,25.58554910916547
35,1.1666666666666667,65,person,496.1648771760912,551.7919980918168,71.21105745392418,72.39800563694962
35,1.1666666666666667,67,car,245.86070610925248,501.2160968750631,27.917430928829134,25.64870741680295
36,1.2,65,person,497.67901531735845,552.2466579704867,71.91803269834128,73.11676518366176
36,1.2,67,car,245.65148907015174,501.6136019108761,28.107109351566834,25.83255346834443
