Frame Index,Time (s),Track ID,Class Name,Center X,Center Y,Width,Height,Speed
3,0.1,1,car,336.1861403406923,319.8103370394723,62.00301319379702,122.66139563642452,0
3,0.1,2,truck,158.80196636997084,44.30818334670826,103.1276086540648,86.45357042645475,0
3,0.1,3,car,210.31675239278977,186.87760917464547,198.81650456114886,144.99114451039264,0
4,0.13333333333333333,1,car,335.6431529986552,318.6297622483994,62.76577076985512,124.10428234954855,38.98375151055147
4,0.13333333333333333,2,truck,158.96034615173363,44.2152336872267,102.96582286202212,86.31975877181074,5.509211833109203
4,0.13333333333333333,3,car,207.27759688494578,187.67199142038743,198.1581764998353,144.35124053124594,94.23777596000254
5,0.16666666666666666,1,car,334.3989100339137,317.0202672547582,64.51204546428448,127.38271069916547,61.03075635184507
5,0.16666666666666666,2,truck,158.72465799480966,44.17331516765317,103.06426084076438,86.39738449449501,7.18160585368683
5,0.16666666666666666,3,car,203.50448035606533,188.61503593126346,201.28329290083417,146.48469944700884,116.67547797632483
6,0.2,1,car,333.63147881368513,315.4329943560135,66.3218194532663,130.86054026819562,52.89184568138803
6,0.2,2,truck,158.79897188102615,44.198835420886624,103.08805422572775,86.44444657473642,2.3572130384686996
6,0.2,3,car,199.141972018474,189.46639745277216,203.81474698043178,148.09441115761894,133.34416332285952
7,0.23333333333333334,1,car,333.29702065115816,314.2246474680717,67.56500932157752,133.24781043820968,37.61340210179997
7,0.23333333333333334,2,truck,158.80658661908467,44.20227489213248,103.21104936005383,86.57517279538908,0.25066467309108187
7,0.23333333333333334,3,car,194.7206800522166,190.1034560305489,204.72734878371023,148.45607722603359,134.0085805244203
8,0.26666666666666666,1,car,333.23018883703617,313.810827657461,67.9803723061595,133.99629942330264,12.57545205268675
8,0.26666666666666666,2,truck,158.83964470894017,44.211879291142495,103.2754811573073,86.65720390038584,1.0327505055501978
8,0.26666666666666666,3,truck,193.42536329703503,189.94410111723946,205.6086127274769,148.77207753336853,39.152465263185974
9,0.3,1,car,332.9450701597601,313.15685129742604,68.27269264571544,134.38466278293288,21.40280275231719
9,0.3,2,truck,158.646805115512,44.22273545533929,103.3911976311093,86.75755884044793,5.79434798619746
9,0.3,3,car,189.66999386800188,191.51651603037845,208.28842522464166,150.3962310467134,122.13827977673849
10,0.3333333333333333,1,car,332.44695582019517,312.3852216199941,68.96878256117662,135.49082874705107,27.553170941590743
10,0.3333333333333333,2,truck,158.40785061751004,44.263089729948874,103.48310719544764,86.79266551365427,7.270140826364418
10,0.3333333333333333,3,car,185.57776411845958,192.2273794903687,209.55156831121315,150.78592687422469,124.60539339695326
11,0.36666666666666664,1,car,331.5374696363069,310.94517936760326,70.29923741774712,137.6260423316893,51.095969768848846
11,0.36666666666666664,2,truck,158.3019259270457,44.23210826352426,103.52428705352304,86.77677057085761,3.3108763463181137
11,0.36666666666666664,3,car,180.58930010336013,193.54985715504571,214.1254026720933,153.72071960390866,154.82360402458207
12,0.4,1,car,330.63537775958014,309.9296319312661,71.0489242025439,138.35733173754863,40.75040753853489
12,0.4,2,truck,159.19022585537186,44.39122168618489,102.86487826314033,86.14225569697211,27.073131690692197
12,0.4,3,car,175.9931251121374,194.5907534996979,216.4699303695657,154.85694176275564,141.37701643204394
13,0.43333333333333335,1,car,329.72374116048366,308.9364027024237,72.21389929682476,139.79947133689194,40.44535858235316
13,0.43333333333333335,2,truck,159.5093344216238,44.458012448499474,102.7028951895766,85.94623183829148,9.780703179594983
13,0.43333333333333335,3,car,171.30277186306324,195.43264993454778,218.5598062608767,155.6719081629877,142.95937495422268
14,0.4666666666666667,1,car,329.41638889260435,308.6110929424015,72.86412145247192,140.2907413783349,13.42619346213346
14,0.4666666666666667,2,truck,158.9438401470003,44.29455898044502,103.26619842460876,86.40967560093188,17.65929584569858
14,0.4666666666666667,3,car,169.63531740625487,195.85754578231092,220.174922308485,156.22504623764846,51.622153793490774
14,0.4666666666666667,5,person,315.4054044722999,580.3809477910685,133.75023994693018,118.73386024179285,0
15,0.5,1,car,328.694222360385,307.5827728977043,74.27803551330453,142.28275617261795,37.69708149347145
15,0.5,2,truck,158.88784753888723,44.2625048922995,103.42819990188713,86.55031457070564,1.9355549739360676
15,0.5,3,car,165.03610154043116,197.23865430744308,223.37922138714725,158.1157280027411,144.06325903842918
15,0.5,5,fire hydrant,305.91690478657915,567.8648955708029,160.17629174843705,143.72250562675583,471.18453977152495
16,0.5333333333333333,1,car,327.81723828818417,306.2718770114619,75.42211535304426,143.49044056122847,47.31589773759978
16,0.5333333333333333,2,truck,159.5517843472211,44.438228571682465,102.8927858111513,86.10100772849837,20.603926986397347
16,0.5333333333333333,3,car,159.8642581066368,198.58817417785957,225.32670619329048,158.96444953531807,160.35040238770097
16,0.5333333333333333,5,person,286.0719055598615,542.7408819234003,166.47902926114477,151.44526642341316,960.4874025498565
17,0.5666666666666667,1,car,326.88114176298336,305.13836700897934,77.04019565381253,145.60866517695243,44.10226147488338
17,0.5666666666666667,2,truck,159.76526498741268,44.496002965052,102.66665973120581,85.9098079929662,6.634808048410016
17,0.5666666666666667,3,truck,154.45483382907395,199.46920531117885,227.1702213934234,159.50876640640917,164.42103936330028
17,0.5666666666666667,5,person,262.35444077826264,533.7833589689833,204.77549183901922,191.44045550090505,760.5786072660467
17,0.5666666666666667,6,car,154.75284382869268,198.93430693408635,231.81331960602142,160.16097162849985,0
18,0.6,1,car,326.16489691358834,304.2100570467514,77.55956810783601,145.32836869247413,35.175125632055895
18,0.6,2,truck,159.84584990018232,44.539046115249654,102.53460689445743,85.8014473772153,2.7407985789775107
18,0.6,3,car,149.5258813159099,199.98550680322276,228.05519119739273,159.20683800813146,148.67759110552453
18,0.6,5,person,253.5023101579967,524.4269210012009,221.53498622261262,207.10859320136655,386.41018771105064
18,0.6,6,bus,149.9937591678373,199.51061021390115,231.77627714762295,159.91308401509062,143.8155452361208
19,0.6333333333333333,1,car,325.3375855572914,302.1786175786812,78.29800089120488,145.27935407894063,65.80327767993033
